taxon,basal,derived
30_Ichneumia_0125.ply,497.282314618589,260.930187458835
31_Viverra_zibetha_ZFMK_1968-0085.ply,302.632865329826,190.147776763082
32_Vulpes_vulpes_M6238.ply,323.454783285176,227.22946282318
34_Vulpes_6182.ply,260.747851318823,202.527854823481
35_Vulpes_6258.ply,266.265951712173,195.52040963513
36_Vulpes_lagopus_M4005.ply,368.809025123414,150.948544292183
37_Vulpes_lagopus_M4007.ply,303.176057674719,272.030316575918
38_Vulpes_lagopus_M553.ply,384.286421085084,233.866253124582
72_Civettictis_civettica_ZFMK_1958-0015_m1_dex_smooth.ply,429.739842962762,136.018384201524
80_Civettictis_civetta_ZFMK_1993_0705_dentition_m1_dex_smooth.ply,359.092881310559,146.073442233282
89_Ichneumia_albicauda_SMF_16553_m1_sin_mirrored_cut_10k_smooth.ply,391.654756457983,110.159732001106
91_Ichneumia_albicauda_SMF_32735_M1_dex_cut_10k_smooth.ply,405.57375718269,251.477482367153
92_Viverra_tangalunga_SMF_697_m1_sin_cut_mirrored_10k_smooth.ply,398.902951637192,276.417558019728
93_Viverra_tangalunga_SMF_20928_m1_dex_cut_10k_smooth.ply,448.591292157599,249.978816119135
94_Viverra_zibetha_SMF_16516_m1_sin_mirrored_cut_10k_smooth.ply,320.780963411078,375.214308533702
205_Dasyurus_hallucatus_digimorph_m2.ply,283.146473813229,457.370573285122
206_Dasyurus_hallucatus_digimorph_m3.ply,282.399975832566,423.639836213843
207_Dasyurus_hallucatus_digimorph_m4.ply,265.920000174434,191.609739082005
209_Dasyurus_maculatus_morphosource_m2.ply,180.96198930876,310.387867922921
210_Dasyurus_maculatus_morphosource_m3.ply,221.469814751424,216.671342119815
211_Dasyurus_maculatus_morphosource.ply,209.992913578612,664.566049715874
213_Dasyurus_viverinus_SNMS_1485_m2.ply,278.19974029263,208.552742213859
214_Dasyurus_viverinus_SNMS_1485_m3.ply,323.004541243444,242.318819261646
215_Dasyurus_viverinus_SNMS_1485_m4.ply,322.275560965425,243.7478038702
218_Dasyurus_viverrinus_SNMS_378_m3.ply,304.868233307043,142.169666933151
219_Dasyurus_viverrinus_SNMS_378_m4.ply,276.408970469742,257.42051196077
221_Dasyurus_viverrinus_SNMS_1480_m2.ply,296.604766962387,316.975027705659
222_Dasyurus_viverrinus_SNMS_1480_m3.ply,338.534909447884,372.947596485425
223_Dasyurus_viverrinus_SNMS_1480_m4.ply,321.477167490059,251.9782
225_Dasyurus_viverrinus_SNMS_15505_m2.ply,350.403415971944,197.160448532043
226_Dasyurus_viverrinus_SNMS_15505_m3.ply,351.004181855432,247.108803228536
227_Dasyurus_viverrinus_SNMS_15505_m4.ply,301.688684088618,230.328835719689
,263.795314882031,310.388970836695
,243.445014840695,443.459488908425
,274.309928393132,393.62131371139
,,345.803765513362
,,419.329190839915
,,389.303741317209
,,229.014202474414
,,291.520821278356
,,270.309620357678
,,150.629348683997
,,185.609334583467
,,198.368958718272
,,165.604945165912
,,211.661059875184
,,223.093913793796
,,210.916317343039
,,291.717600281896
,,325.863351230856
,,181.700353582687
,,255.780094130125
,,278.905571815548
,,160.055735190453
,,275.324032308428
,,304.049370686712
,,144.893392976325
,,196.123162520303
,,240.188747805036
,,303.247322501625
,,275.073819237044
,,319.728653803929
,,169.238008348011
,,235.309184968513
,,308.429296409122
,,161.175502719334
,,284.730667565089
,,410.797924104693
,,126.74863958396
,,164.033715056749
,,149.752859331825
